name,description,html_url,watchers_count,stargazers_count,forks_count
awesome-python,"A curated list of awesome Python frameworks, libraries, software and resources",https://github.com/vinta/awesome-python,71041,71041,13900
system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,https://github.com/donnemartin/system-design-primer,70706,70706,11141
public-apis,A collective list of free APIs for use in software and web development.,https://github.com/public-apis/public-apis,59952,59952,6400
models,Models and examples built with TensorFlow,https://github.com/tensorflow/models,56400,56400,35309
youtube-dl,Command-line program to download videos from YouTube.com and other video sites,https://github.com/ytdl-org/youtube-dl,54301,54301,9411
flask,The Python micro framework for building web applications.,https://github.com/pallets/flask,45843,45843,12802
thefuck,Magnificent app which corrects your previous console command.,https://github.com/nvbn/thefuck,45520,45520,2261
keras,Deep Learning for humans,https://github.com/keras-team/keras,43417,43417,16521
django,The Web framework for perfectionists with deadlines.,https://github.com/django/django,43344,43344,18644
httpie,"As easy as httpie /aitch-tee-tee-pie/ 🥧 Modern command line HTTP client – user-friendly curl alternative with intuitive UI, JSON support, syntax highlighting, wget-like downloads, extensions, etc.  https://twitter.com/clihttp",https://github.com/jakubroztocil/httpie,42633,42633,2806
awesome-machine-learning,"A curated list of awesome Machine Learning frameworks, libraries and software.",https://github.com/josephmisiti/awesome-machine-learning,41245,41245,10401
requests,Python HTTP Requests for Humans™ ✨🍰✨,https://github.com/psf/requests,39739,39739,7222
ansible,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy. Avoid writing scripts or custom code to deploy and update your applications — automate in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com/ansible/",https://github.com/ansible/ansible,38824,38824,16357
scikit-learn,scikit-learn: machine learning in Python,https://github.com/scikit-learn/scikit-learn,36565,36565,17939
scrapy,"Scrapy, a fast high-level web crawling & scraping framework for Python.",https://github.com/scrapy/scrapy,33963,33963,7958
big-list-of-naughty-strings,The Big List of Naughty Strings is a list of strings which have a high probability of causing issues when used as user-input data.,https://github.com/minimaxir/big-list-of-naughty-strings,32957,32957,1411
shadowsocks,,https://github.com/shadowsocks/shadowsocks,31021,31021,18912
XX-Net,a web proxy tool,https://github.com/XX-net/XX-Net,28434,28434,7662
face_recognition,The world's simplest facial recognition api for Python and the command line,https://github.com/ageitgey/face_recognition,26966,26966,7232
you-get,:arrow_double_down: Dumb downloader that scrapes the web,https://github.com/soimort/you-get,26403,26403,5281
cpython,The Python programming language,https://github.com/python/cpython,26002,26002,11099
home-assistant,:house_with_garden: Open source home automation that puts local control and privacy first,https://github.com/home-assistant/home-assistant,25771,25771,7498
Algorithm_Interview_Notes-Chinese,2018/2019/校招/春招/秋招/算法/机器学习(Machine Learning)/深度学习(Deep Learning)/自然语言处理(NLP)/C/C++/Python/面试笔记,https://github.com/imhuay/Algorithm_Interview_Notes-Chinese,25770,25770,7945
certbot,Certbot is EFF's tool to obtain certs from Let's Encrypt and (optionally) auto-enable HTTPS on your server.  It can also act as a client for any other CA that uses the ACME protocol.,https://github.com/certbot/certbot,25466,25466,2644
100-Days-Of-ML-Code,100 Days of ML Coding,https://github.com/Avik-Jain/100-Days-Of-ML-Code,24898,24898,5984
CppCoreGuidelines,"The C++ Core Guidelines are a set of tried-and-true guidelines, rules, and best practices about coding in C++",https://github.com/isocpp/CppCoreGuidelines,23849,23849,3130
Deep-Learning-Papers-Reading-Roadmap,Deep Learning papers reading roadmap for anyone who are eager to learn this amazing tech!,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap,23726,23726,5396
tldr,:books: Simplified and community-driven man pages,https://github.com/tldr-pages/tldr,23176,23176,1726
sentry,"Sentry is cross-platform application monitoring, with a focus on error reporting.",https://github.com/getsentry/sentry,21751,21751,2508
faceswap,Deepfakes Software For All,https://github.com/deepfakes/faceswap,21706,21706,7172
